data_category,modality,inferred_subset,file_count,total_size_bytes,representative_paths,first_round_relevance
DARLIN barcode raw reads,DARLIN barcode / clone evidence,Brain_031319A_E1_RA_TA_MeiJi,4,17517321975,/data/zhutao/nichefate_data/MeiJi/Brain_E1_all_RA.R1.raw.fastq.gz | /data/zhutao/nichefate_data/MeiJi/Brain_E1_all_RA.R2.raw.fastq.gz | /data/zhutao/nichefate_data/MeiJi/Brain_E1_all_TA.R1.raw.fastq.gz,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
DARLIN barcode raw reads,DARLIN barcode / clone evidence,HSC_MPP_darlin_test_or_legacy_run,4,47700559,/data/zhutao/darlin_data/raw_fastq/HSC_R1.fastq.gz | /data/zhutao/darlin_data/raw_fastq/HSC_R2.fastq.gz | /data/zhutao/darlin_data/raw_fastq/MPP_R1.fastq.gz,useful_pipeline_smoke_context_not_matched_nichefate_subset
archives,compressed archive,Brain_031319A_E1_RA_TA_MeiJi,1,103603,/data/zhutao/nichefate_data/MeiJi/others/SJ2026050600660_charts.zip,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
archives,compressed archive,GSE222246_public_camellia_metadata,1,6133760,/home/zhutao/projects/darlin_cell_repro/data/geo/GSE222246_RAW.tar,public_reference_metadata_not_first_local_onboarding_subset
logs,QC/report artifact,Brain_031319A_B1_CA_TA_RA_shared_PE100_250,1762,1108934721,/data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_Report.html | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/report/R001C001.html | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/report/R001C002.html,high_candidate_but_requires_sample_sheet_and_locus_confirmation
logs,QC/report artifact,Brain_031319A_E1_RA_TA_MeiJi,1,621535,/data/zhutao/nichefate_data/MeiJi/others/report.pdf,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
logs,QC/report artifact,Brain_031319A_E1_or_Pancreas_E2_ST_shared_PE100_100,1762,888321637,/data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_Report.html | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/report/R001C001.html | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/report/R001C002.html,candidate_matched_ST_expression_but_sample_split_unconfirmed
logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,94,33938611,/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C026.html | /data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C028.html | /data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C035.html,deferred_or_context
metadata / sample sheet,compressed GEO metadata,GSE222246_public_camellia_metadata,1,3409,/home/zhutao/projects/darlin_cell_repro/data/geo/GSE222246_family.soft.gz,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,compressed GEO metadata,GSE222479_public_bulk_carlin_metadata,1,14000,/home/zhutao/projects/darlin_cell_repro/data/geo/GSE222479_family.soft.gz,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,compressed GEO metadata,GSE222486_public_darlin_scRNA_metadata,1,79066,/home/zhutao/projects/darlin_cell_repro/data/geo/GSE222486_family.soft.gz,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,documentation/report,Brain_031319A_B1_CA_TA_RA_shared_PE100_250,12,418907929,/data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_cycleHeatmap.html | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_heatmap.html | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_imgHeatmap.html,high_candidate_but_requires_sample_sheet_and_locus_confirmation
metadata / sample sheet,documentation/report,Brain_031319A_E1_RA_TA_MeiJi,1,2404349,/data/zhutao/nichefate_data/MeiJi/others/原始数据校验方法.pdf,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
metadata / sample sheet,documentation/report,Brain_031319A_E1_or_Pancreas_E2_ST_shared_PE100_100,12,241170946,/data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_cycleHeatmap.html | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_heatmap.html | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_imgHeatmap.html,candidate_matched_ST_expression_but_sample_split_unconfirmed
metadata / sample sheet,metadata,Brain_031319A_B1_CA_TA_RA_shared_PE100_250,8,256,/data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_R1.fastq.gz.md5 | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_R2.fastq.gz.md5 | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane02/Lane02_ZHY_XBB_R_PE100_250_R1.fastq.gz.md5,high_candidate_but_requires_sample_sheet_and_locus_confirmation
metadata / sample sheet,metadata,Brain_031319A_E1_or_Pancreas_E2_ST_shared_PE100_100,8,256,/data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_R1.fastq.gz.md5 | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_R2.fastq.gz.md5 | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane02/Lane02_ZHY_XBB_E_PE100_100_R1.fastq.gz.md5,candidate_matched_ST_expression_but_sample_split_unconfirmed
metadata / sample sheet,metadata,Salus_spatial_BC_delivery_031319A,14,329124769,/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AAbnormal.txt | /data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/ADebug.txt | /data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/AError.txt,deferred_or_context
metadata / sample sheet,metadata,prior_DARLIN_inventory_checkpoint,2,12613,/home/zhutao/scratch/nichefate/project_audit/darlin_data_inventory.csv | /home/zhutao/scratch/nichefate/project_audit/darlin_expected_vs_observed_manifest.csv,deferred_or_context
metadata / sample sheet,sample/run metadata,Brain_031319A_B1_CA_TA_RA_shared_PE100_250,1,2289,/data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/RunInfo.xml,high_candidate_but_requires_sample_sheet_and_locus_confirmation
metadata / sample sheet,sample/run metadata,Brain_031319A_E1_RA_TA_MeiJi,2,6625,/data/zhutao/nichefate_data/MeiJi/others/rawdata.stat | /data/zhutao/nichefate_data/MeiJi/raw_md5.txt,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
metadata / sample sheet,sample/run metadata,Brain_031319A_E1_or_Pancreas_E2_ST_shared_PE100_100,1,2249,/data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/RunInfo.xml,candidate_matched_ST_expression_but_sample_split_unconfirmed
metadata / sample sheet,sample/run metadata,GSE222246_public_camellia_metadata,2,37126,/home/zhutao/projects/darlin_cell_repro/configs/GSE222246_samples.tsv | /home/zhutao/projects/darlin_cell_repro/data/geo/GSE222246_family.soft,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,sample/run metadata,GSE222479_public_bulk_carlin_metadata,2,827548,/home/zhutao/projects/darlin_cell_repro/configs/GSE222479_samples.tsv | /home/zhutao/projects/darlin_cell_repro/data/geo/GSE222479_family.soft,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,sample/run metadata,GSE222486_public_darlin_scRNA_metadata,2,4832826,/home/zhutao/projects/darlin_cell_repro/configs/GSE222486_samples.tsv | /home/zhutao/projects/darlin_cell_repro/data/geo/GSE222486_family.soft,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,sample/run metadata,HSC_MPP_darlin_test_or_legacy_run,1,248,/data/zhutao/darlin_data/config.yaml,useful_pipeline_smoke_context_not_matched_nichefate_subset
metadata / sample sheet,sample/run metadata,Salus_spatial_BC_delivery_031319A,2,37604,/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/LogFiles/RunInfo.xml | /data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/SalusCallFile/ListTable.csv,deferred_or_context
metadata / sample sheet,sample/run metadata,official_DARLIN_reference_or_public_repro,3,3199,/home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN/test/bulk/config.yaml | /home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN/test/sc-10X/config.yaml | /home/zhutao/projects/darlin_cell_repro/code/snakemake_DARLIN/test/scCamellia/config.yaml,deferred_or_context
processed clone/barcode output,DARLIN pipeline status flag,HSC_MPP_darlin_test_or_legacy_run,4,0,/data/zhutao/darlin_data/DARLIN/results_cutoff_override_10/HSC/DARLIN_analysis.done | /data/zhutao/darlin_data/DARLIN/results_cutoff_override_10/MPP/DARLIN_analysis.done | /data/zhutao/darlin_data/DARLIN/results_cutoff_override_3/HSC/DARLIN_analysis.done,useful_pipeline_smoke_context_not_matched_nichefate_subset
raw sequencing,shared CA/TA/RA candidate barcode sequencing,Brain_031319A_B1_CA_TA_RA_shared_PE100_250,8,30876359636,/data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_R1.fastq.gz | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_R2.fastq.gz | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane02/Lane02_ZHY_XBB_R_PE100_250_R1.fastq.gz,high_candidate_but_requires_sample_sheet_and_locus_confirmation
raw sequencing,shared ST/expression sequencing candidate,Brain_031319A_E1_or_Pancreas_E2_ST_shared_PE100_100,8,115451190438,/data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_R1.fastq.gz | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_R2.fastq.gz | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane02/Lane02_ZHY_XBB_E_PE100_100_R1.fastq.gz,candidate_matched_ST_expression_but_sample_split_unconfirmed
unknown / unclassified,official preprocessing reference/tooling,official_DARLIN_reference_or_public_repro,7,43746,/home/zhutao/projects/darlin_cell_repro/code/Custom_CARLIN/README.md | /home/zhutao/projects/darlin_cell_repro/code/Custom_CARLIN/README_SW.md | /home/zhutao/projects/darlin_cell_repro/code/DARLIN_tutorial/README.MD,deferred_or_context
unknown / unclassified,unknown,Brain_031319A_E1_RA_TA_MeiJi,2,866308,/data/zhutao/nichefate_data/MeiJi/.DS_Store | /data/zhutao/nichefate_data/MeiJi/others/MD5Summer.exe,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
unknown / unclassified,unknown,HSC_MPP_darlin_test_or_legacy_run,9,16577,/data/zhutao/darlin_data/.snakemake/log/2026-03-16T083332.650856.snakemake.log | /data/zhutao/darlin_data/.snakemake/log/2026-03-16T083636.696744.snakemake.log | /data/zhutao/darlin_data/.snakemake/metadata/REFSTElOL3Jlc3VsdHNfY3V0b2ZmX292ZXJyaWRlXzEwL01QUC9EQVJMSU5fYW5hbHlzaXMuZG9uZQ==,useful_pipeline_smoke_context_not_matched_nichefate_subset
unknown / unclassified,unknown,prior_DARLIN_inventory_checkpoint,2,13757,/home/zhutao/scratch/nichefate/project_audit/combined_project_and_darlin_checkpoint.md | /home/zhutao/scratch/nichefate/project_audit/darlin_data_inventory.md,deferred_or_context
unknown / unclassified,unknown,unknown,1,3660,/home/zhutao/scratch/nichefate/project_audit/lightweight_project_checkpoint.md,deferred_or_context
