candidate_id,lane,records_parsed,unique_barcode_count,top_barcode_frequency,top_barcode_fraction,barcode_duplication_rate,n_rate,top100_jaccard_to_other_lanes_mean,header_mismatch_count,lane_consistency_status,top_sequences_hashed,notes
CAND_R1_BC_1_8,Lane01,100000,41891,305,0.00305,0.58109,2.5e-06,0.11529544,0,consistent,11032a0bdbed:305;0a1f868858e1:196;9997f4101937:85;cdaae9660038:53;c08598945e56:46,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_BC_1_8,Lane02,100000,40615,459,0.00459,0.59385,1.25e-06,0.08735818,0,consistent,11032a0bdbed:459;9997f4101937:220;0a1f868858e1:132;c08598945e56:43;cdaae9660038:39,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_BC_1_8,Lane03,100000,35957,278,0.00278,0.64043,7.5e-06,0.08958436,0,consistent,0a1f868858e1:278;11032a0bdbed:225;c08598945e56:56;cdaae9660038:50;12add443e078:40,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_BC_1_8,Lane04,100000,40647,457,0.00457,0.59353,2.5e-06,0.10105869,0,consistent,11032a0bdbed:457;9997f4101937:323;0a1f868858e1:106;f39e635fea49:55;cdaae9660038:41,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_BC_1_10,Lane01,100000,90625,285,0.00285,0.09375,2e-06,0.23216869,0,consistent,d70650de5591:285;e3fa6bda3378:150;010ed41e1323:69;c71613a7386f:45;e7da300634e5:44,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_BC_1_10,Lane02,100000,90010,448,0.00448,0.0999,1e-06,0.23515548,0,consistent,d70650de5591:448;010ed41e1323:188;e3fa6bda3378:96;c71613a7386f:41;e7da300634e5:37,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_BC_1_10,Lane03,100000,88929,231,0.00231,0.11071,6e-06,0.19355601,0,consistent,e3fa6bda3378:231;d70650de5591:215;c71613a7386f:53;e7da300634e5:45;2750b0ad8d09:39,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_BC_1_10,Lane04,100000,89977,448,0.00448,0.10023,3e-06,0.21114773,0,consistent,d70650de5591:448;010ed41e1323:279;e3fa6bda3378:96;474d569a560b:48;e7da300634e5:39,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_ALT_8_18,Lane01,100000,94140,384,0.00384,0.0586,4.55e-06,0.63119183,0,consistent,e9f2e257099e:384;a2747afd914f:304;5f7b8fda3008:281;153d81291120:181;111fdbf97455:144,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_ALT_8_18,Lane02,100000,94207,427,0.00427,0.05793,5.45e-06,0.62695903,0,consistent,5f7b8fda3008:427;e9f2e257099e:327;a2747afd914f:232;be126c316ddc:231;153d81291120:202,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_ALT_8_18,Lane03,100000,94530,398,0.00398,0.0547,4.55e-06,0.58756827,0,consistent,e9f2e257099e:398;a2747afd914f:312;153d81291120:213;5f7b8fda3008:207;004537f3b1fd:131,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_ALT_8_18,Lane04,100000,94012,438,0.00438,0.05988,5.45e-06,0.59180108,0,consistent,5f7b8fda3008:438;be126c316ddc:342;e9f2e257099e:339;111fdbf97455:280;a2747afd914f:268,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_ALT_10_20,Lane01,100000,93635,660,0.0066,0.06365,5.45e-06,0.55846253,0,consistent,e9f2e257099e:660;a2747afd914f:380;aeaa8f612080:306;2a12de8acd37:273;111fdbf97455:180,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_ALT_10_20,Lane02,100000,93822,665,0.00665,0.06178,9.09e-06,0.52725162,0,consistent,e9f2e257099e:665;2a12de8acd37:415;a2747afd914f:328;6182573f456f:244;aeaa8f612080:230,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_ALT_10_20,Lane03,100000,94193,608,0.00608,0.05807,5.45e-06,0.53116628,0,consistent,e9f2e257099e:608;a2747afd914f:392;aeaa8f612080:310;111fdbf97455:215;2a12de8acd37:202,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_ALT_10_20,Lane04,100000,93515,683,0.00683,0.06485,5.45e-06,0.53852223,0,consistent,e9f2e257099e:683;2a12de8acd37:432;6182573f456f:364;a2747afd914f:337;3e06be02ef0d:276,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_UMI_15_30,Lane01,100000,93881,644,0.00644,0.06119,9.37e-06,0.59643569,0,consistent,23b4ebd1e1e9:644;e817e34c8d04:362;2cf0d2a00c6c:288;9ab618c83981:258;1203563ef359:214,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_UMI_15_30,Lane02,100000,93956,654,0.00654,0.06044,1.313e-05,0.56848018,0,consistent,23b4ebd1e1e9:654;e817e34c8d04:320;9ab618c83981:274;17b47803094e:233;2cf0d2a00c6c:219,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_UMI_15_30,Lane03,100000,94478,592,0.00592,0.05522,1.438e-05,0.54077099,0,consistent,23b4ebd1e1e9:592;e817e34c8d04:373;2cf0d2a00c6c:295;9ab618c83981:242;1203563ef359:207,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R1_UMI_15_30,Lane04,100000,93548,676,0.00676,0.06452,1.313e-05,0.55138233,0,consistent,23b4ebd1e1e9:676;17b47803094e:342;e817e34c8d04:330;0ca1b9387206:264;9ab618c83981:257,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R2_ALT_1_20,Lane01,100000,72463,1330,0.0133,0.27537,1.35e-05,0.69990848,0,consistent,387d6ddb4c54:1330;c900c79f4c07:869;19df4a3b3c36:694;74f06e20704c:638;b242a87182cb:518,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R2_ALT_1_20,Lane02,100000,70172,1472,0.01472,0.29828,4.05e-05,0.7047373,0,consistent,387d6ddb4c54:1472;c900c79f4c07:927;19df4a3b3c36:743;74f06e20704c:678;b242a87182cb:570,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R2_ALT_1_20,Lane03,100000,69915,1445,0.01445,0.30085,4.8e-05,0.75002589,0,consistent,387d6ddb4c54:1445;c900c79f4c07:898;19df4a3b3c36:750;74f06e20704c:728;c8b2ef3dd4c6:546,Top sequence overlap is descriptive only; not whitelist validation.
CAND_R2_ALT_1_20,Lane04,100000,69068,1524,0.01524,0.30932,4.4e-05,0.73537292,0,consistent,387d6ddb4c54:1524;c900c79f4c07:992;19df4a3b3c36:792;74f06e20704c:791;b242a87182cb:570,Top sequence overlap is descriptive only; not whitelist validation.
