path,line_number,pattern,severity,action,redacted_context
scripts/k_gpcca_01_pilot_kernel_preflight.py,451,token,harmless,Harmless code/test vocabulary after inspection.,"        if any(token in column.lower() for token in [""spatial"", ""top"
scripts/k_gpcca_01_pilot_kernel_preflight.py,451,token,harmless,Harmless code/test vocabulary after inspection.,"        if any(token in column.lower() for token in [""spatial"", ""topology"", ""neighbor""])"
scripts/k_gpcca_01_pilot_kernel_preflight.py,456,token,harmless,Harmless code/test vocabulary after inspection.,"        if any(token in column.lower() for token in [""molecular"", ""e"
scripts/k_gpcca_01_pilot_kernel_preflight.py,456,token,harmless,Harmless code/test vocabulary after inspection.,"        if any(token in column.lower() for token in [""molecular"", ""embedding"", ""pca""])"
scripts/k_gpcca_04_kernel_revision_pilot.py,214,token,harmless,Harmless code/test vocabulary after inspection.,        lowered == token
scripts/k_gpcca_04_kernel_revision_pilot.py,215,token,harmless,Harmless code/test vocabulary after inspection.,"        or lowered.startswith(f""{token}_"")"
scripts/k_gpcca_04_kernel_revision_pilot.py,216,token,harmless,Harmless code/test vocabulary after inspection.,"        or lowered.endswith(f""_{token}"")"
scripts/k_gpcca_04_kernel_revision_pilot.py,217,token,harmless,Harmless code/test vocabulary after inspection.,        for token in denylist
scripts/k_gpcca_04_kernel_revision_pilot.py,224,token,harmless,Harmless code/test vocabulary after inspection.,"    if any(token in column for token in [""__n_neighbors"", ""__mea"
scripts/k_gpcca_04_kernel_revision_pilot.py,224,token,harmless,Harmless code/test vocabulary after inspection.,"    if any(token in column for token in [""__n_neighbors"", ""__mean_neighbor_distance"""
scripts/m1_03_build_niche_full.py,54,token,harmless,Harmless code/test vocabulary after inspection.,def _safe_token(value: object) -> str:
scripts/m1_03_build_niche_full.py,56,token,harmless,Harmless code/test vocabulary after inspection.,"    [REDACTED_CREDENTIAL_LIKE_VALUE]""[^0-9A-Za-z._-]+"", ""_"", text).strip("
scripts/m1_03_build_niche_full.py,57,token,harmless,Harmless code/test vocabulary after inspection.,"    return token or ""slice"""
scripts/m1_03_build_niche_full.py,408,token,harmless,Harmless code/test vocabulary after inspection.,        slice_[REDACTED_CREDENTIAL_LIKE_VALUE])
scripts/m1_03_build_niche_full.py,408,token,harmless,Harmless code/test vocabulary after inspection.,        slice_[REDACTED_CREDENTIAL_LIKE_VALUE])
scripts/m1_03_build_niche_full.py,410,token,harmless,Harmless code/test vocabulary after inspection.,"ure_base = output_dir / f""niche_features_{slice_token}"""
scripts/m1_03_build_niche_full.py,411,token,harmless,Harmless code/test vocabulary after inspection.,"bor_path = output_dir / f""neighbor_index_{slice_token}.npz"""
scripts/m1_03_build_niche_full.py,412,token,harmless,Harmless code/test vocabulary after inspection.,"th = output_dir / f""{args.report_prefix}_{slice_token}.md"""
scripts/m1_03a_prepare_global_schema.py,20,token,harmless,Harmless code/test vocabulary after inspection.,"port cell_type_composition_prefix, safe_feature_token"
scripts/m1_03a_prepare_global_schema.py,77,token,harmless,Harmless code/test vocabulary after inspection.,        [REDACTED_CREDENTIAL_LIKE_VALUE])
scripts/m1_03a_prepare_global_schema.py,77,token,harmless,Harmless code/test vocabulary after inspection.,        [REDACTED_CREDENTIAL_LIKE_VALUE])
scripts/m1_03a_prepare_global_schema.py,79,token,harmless,Harmless code/test vocabulary after inspection.,"            token,"
scripts/m1_03a_prepare_global_schema.py,83,token,harmless,Harmless code/test vocabulary after inspection.,"                ""token"": token,"
scripts/m1_03a_prepare_global_schema.py,83,token,harmless,Harmless code/test vocabulary after inspection.,"                ""token"": token,"
scripts/m1_03a_prepare_global_schema.py,84,token,harmless,Harmless code/test vocabulary after inspection.,"olumn"": f""{cell_type_composition_prefix(key)}__{token}"","
scripts/m1_03a_prepare_global_schema.py,138,token,harmless,Harmless code/test vocabulary after inspection.,"            ""| cell_type_key | label | token | column | n_cells | n_slices |"","
scripts/m1_03a_prepare_global_schema.py,144,token,harmless,Harmless code/test vocabulary after inspection.,"{row['cell_type_key']} | {row['label']} | {row['token']} | """
scripts/m1_03a_prepare_global_schema.py,205,token,harmless,Harmless code/test vocabulary after inspection.,"get(key, {}).values(), key=lambda row: str(row[""token""]))"
scripts/m1_03a_prepare_global_schema.py,210,token,harmless,Harmless code/test vocabulary after inspection.,"                ""token"": record[""token""],"
scripts/m1_03a_prepare_global_schema.py,210,token,harmless,Harmless code/test vocabulary after inspection.,"                ""token"": record[""token""],"
scripts/m1_03a_prepare_global_schema.py,220,token,harmless,Harmless code/test vocabulary after inspection.,"        [""cell_type_key"", ""token""], ignore_index=True"
scripts/m1_04_build_niche_full_by_slice.py,54,token,harmless,Harmless code/test vocabulary after inspection.,def _safe_token(value: object) -> str:
scripts/m1_04_build_niche_full_by_slice.py,57,token,harmless,Harmless code/test vocabulary after inspection.,"    [REDACTED_CREDENTIAL_LIKE_VALUE]""[^0-9A-Za-z._-]+"", ""_"", str(value))."
scripts/m1_04_build_niche_full_by_slice.py,58,token,harmless,Harmless code/test vocabulary after inspection.,"    return token or ""slice"""
scripts/m1_04_build_niche_full_by_slice.py,70,token,harmless,Harmless code/test vocabulary after inspection.,"            ""slice_token"": _safe_token(slice_id),"
scripts/m1_04_build_niche_full_by_slice.py,70,token,harmless,Harmless code/test vocabulary after inspection.,"            ""slice_token"": _safe_token(slice_id),"
scripts/m1_04_build_niche_full_by_slice.py,90,token,harmless,Harmless code/test vocabulary after inspection.,"    slice_dir = output_dir / str(record[""slice_token""])"
scripts/m1_04_build_niche_full_by_slice.py,91,token,harmless,Harmless code/test vocabulary after inspection.,"    [REDACTED_CREDENTIAL_LIKE_VALUE]""slice_token""])"
scripts/m1_04_build_niche_full_by_slice.py,91,token,harmless,Harmless code/test vocabulary after inspection.,"    [REDACTED_CREDENTIAL_LIKE_VALUE]""slice_token""])"
scripts/m1_04_build_niche_full_by_slice.py,92,token,harmless,Harmless code/test vocabulary after inspection.,"   parquet_path = slice_dir / f""niche_features_{token}.parquet"""
scripts/m1_04_build_niche_full_by_slice.py,93,token,harmless,Harmless code/test vocabulary after inspection.,"    csv_path = slice_dir / f""niche_features_{token}.csv"""
scripts/m1_04_build_niche_full_by_slice.py,100,token,harmless,Harmless code/test vocabulary after inspection.,"      ""neighbor"": slice_dir / f""neighbor_index_{token}.npz"","
scripts/m1_04_build_niche_full_by_slice.py,101,token,harmless,Harmless code/test vocabulary after inspection.,"        ""report"": slice_dir / f""m1_report_{token}.md"","
scripts/m3_02_sample_candidate_edges.py,56,token,harmless,Harmless code/test vocabulary after inspection.,def _safe_token(value: object) -> str:
scripts/m3_02_sample_candidate_edges.py,57,token,harmless,Harmless code/test vocabulary after inspection.,"    [REDACTED_CREDENTIAL_LIKE_VALUE]""[^0-9A-Za-z._-]+"", ""_"", str(value))."
scripts/m3_02_sample_candidate_edges.py,58,token,harmless,Harmless code/test vocabulary after inspection.,"    return token or ""time"""
scripts/m3_02_sample_candidate_edges.py,308,token,harmless,Harmless code/test vocabulary after inspection.,"            f""candidate_edges_{_safe_token(pair['source_time'])}_"""
scripts/m3_02_sample_candidate_edges.py,309,token,harmless,Harmless code/test vocabulary after inspection.,"            f""to_{_safe_token(pair['target_time'])}.parquet"""
scripts/m3_05_build_transition_pilot_shard.py,78,token,harmless,Harmless code/test vocabulary after inspection.,def _safe_token(value: object) -> str:
scripts/m3_05_build_transition_pilot_shard.py,79,token,harmless,Harmless code/test vocabulary after inspection.,"    [REDACTED_CREDENTIAL_LIKE_VALUE]""[^0-9A-Za-z._-]+"", ""_"", str(value))."
scripts/m3_05_build_transition_pilot_shard.py,80,token,harmless,Harmless code/test vocabulary after inspection.,"    return token or ""value"""
scripts/m3_05_build_transition_pilot_shard.py,88,token,harmless,Harmless code/test vocabulary after inspection.,"    stem = f""{_safe_token(source_time)}_to_{_safe_token(target_time)}__{_"
scripts/m3_05_build_transition_pilot_shard.py,88,token,harmless,Harmless code/test vocabulary after inspection.,"  stem = f""{_safe_token(source_time)}_to_{_safe_token(target_time)}__{_safe_token(slice_id)}"""
scripts/m3_05_build_transition_pilot_shard.py,88,token,harmless,Harmless code/test vocabulary after inspection.,"ce_time)}_to_{_safe_token(target_time)}__{_safe_token(slice_id)}"""
scripts/m3_06_run_transition_timepair_pilot.py,110,token,harmless,Harmless code/test vocabulary after inspection.,def token(value: object) -> str:
scripts/m3_06_run_transition_timepair_pilot.py,111,token,harmless,Harmless code/test vocabulary after inspection.,    return _PILOT._safe_token(value)
scripts/m3_06_run_transition_timepair_pilot.py,115,token,harmless,Harmless code/test vocabulary after inspection.,"    return f""{token(source_time)}_to_{token(target_time)}"""
scripts/m3_06_run_transition_timepair_pilot.py,115,token,harmless,Harmless code/test vocabulary after inspection.,"    return f""{token(source_time)}_to_{token(target_time)}"""
scripts/m3_10_design_slurm_full_m3_strategy.py,59,token,harmless,Harmless code/test vocabulary after inspection.,def _safe_token(value: object) -> str:
scripts/m3_10_design_slurm_full_m3_strategy.py,60,token,harmless,Harmless code/test vocabulary after inspection.,"    [REDACTED_CREDENTIAL_LIKE_VALUE]""[^0-9A-Za-z._-]+"", ""_"", str(value))."
scripts/m3_10_design_slurm_full_m3_strategy.py,61,token,harmless,Harmless code/test vocabulary after inspection.,"    return token or ""value"""
scripts/m3_10_design_slurm_full_m3_strategy.py,168,token,harmless,Harmless code/test vocabulary after inspection.,"target_time""].map(lambda value: f""target_{_safe_token(value)}"")"
scripts/m3_10_design_slurm_full_m3_strategy.py,180,token,harmless,Harmless code/test vocabulary after inspection.,"        str(output_root / f""{_safe_token(src)}_to_{_safe_token(tgt)}"")"
scripts/m3_10_design_slurm_full_m3_strategy.py,180,token,harmless,Harmless code/test vocabulary after inspection.,"tr(output_root / f""{_safe_token(src)}_to_{_safe_token(tgt)}"")"
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,68,token,harmless,Harmless code/test vocabulary after inspection.,OUTPUT_TOKENS = [
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,99,token,harmless,Harmless code/test vocabulary after inspection.,def _safe_token(value: object) -> str:
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,105,token,harmless,Harmless code/test vocabulary after inspection.,"    stem = f""{_safe_token(source_time)}_to_{_safe_token(target_time)}__{_"
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,105,token,harmless,Harmless code/test vocabulary after inspection.,"  stem = f""{_safe_token(source_time)}_to_{_safe_token(target_time)}__{_safe_token(source_slice_id)}"""
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,105,token,harmless,Harmless code/test vocabulary after inspection.,"ce_time)}_to_{_safe_token(target_time)}__{_safe_token(source_slice_id)}"""
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,162,token,harmless,Harmless code/test vocabulary after inspection.,    for token in OUTPUT_TOKENS:
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,162,token,harmless,Harmless code/test vocabulary after inspection.,    for token in OUTPUT_TOKENS:
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,163,token,harmless,Harmless code/test vocabulary after inspection.,        if token in lower:
scripts/m3_11_validate_ann_backend_on_sampled_shard.py,164,token,harmless,Harmless code/test vocabulary after inspection.,"-looking ANN validation output path containing {token!r}."")"
scripts/m3_12_validate_ann_backend_on_full_shard.py,50,token,harmless,Harmless code/test vocabulary after inspection.,OUTPUT_TOKENS = [
scripts/m3_12_validate_ann_backend_on_full_shard.py,91,token,harmless,Harmless code/test vocabulary after inspection.,def _safe_token(value: object) -> str:
scripts/m3_12_validate_ann_backend_on_full_shard.py,97,token,harmless,Harmless code/test vocabulary after inspection.,"    stem = f""{_safe_token(source_time)}_to_{_safe_token(target_time)}__{_"
scripts/m3_12_validate_ann_backend_on_full_shard.py,97,token,harmless,Harmless code/test vocabulary after inspection.,"  stem = f""{_safe_token(source_time)}_to_{_safe_token(target_time)}__{_safe_token(source_slice_id)}"""
scripts/m3_12_validate_ann_backend_on_full_shard.py,97,token,harmless,Harmless code/test vocabulary after inspection.,"ce_time)}_to_{_safe_token(target_time)}__{_safe_token(source_slice_id)}"""
scripts/m3_12_validate_ann_backend_on_full_shard.py,135,token,harmless,Harmless code/test vocabulary after inspection.,    for token in OUTPUT_TOKENS:
scripts/m3_12_validate_ann_backend_on_full_shard.py,135,token,harmless,Harmless code/test vocabulary after inspection.,    for token in OUTPUT_TOKENS:
scripts/m3_12_validate_ann_backend_on_full_shard.py,136,token,harmless,Harmless code/test vocabulary after inspection.,        if token in lower:
scripts/m3_12_validate_ann_backend_on_full_shard.py,137,token,harmless,Harmless code/test vocabulary after inspection.,"-looking ANN validation output path containing {token!r}."")"
scripts/m3_13_stress_test_ann_large_target_pair.py,47,token,harmless,Harmless code/test vocabulary after inspection.,OUTPUT_TOKENS = [
scripts/m3_13_stress_test_ann_large_target_pair.py,164,token,harmless,Harmless code/test vocabulary after inspection.,    for token in OUTPUT_TOKENS:
scripts/m3_13_stress_test_ann_large_target_pair.py,164,token,harmless,Harmless code/test vocabulary after inspection.,    for token in OUTPUT_TOKENS:
scripts/m3_13_stress_test_ann_large_target_pair.py,165,token,harmless,Harmless code/test vocabulary after inspection.,        if token in lower:
scripts/m3_13_stress_test_ann_large_target_pair.py,166,token,harmless,Harmless code/test vocabulary after inspection.,"am-looking M3-13 stress output path containing {token!r}."")"
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,29,token,harmless,Harmless code/test vocabulary after inspection.,OUTPUT_TOKENS = [
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,38,token,harmless,Harmless code/test vocabulary after inspection.,BENCHMARK_TOKENS = [
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,121,token,harmless,Harmless code/test vocabulary after inspection.,def _path_has_forbidden_token(path: Path) -> str | None:
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,126,token,harmless,Harmless code/test vocabulary after inspection.,        for token in OUTPUT_TOKENS:
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,126,token,harmless,Harmless code/test vocabulary after inspection.,        for token in OUTPUT_TOKENS:
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,127,token,harmless,Harmless code/test vocabulary after inspection.,            if token in lower:
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,128,token,harmless,Harmless code/test vocabulary after inspection.,                return token
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,139,token,harmless,Harmless code/test vocabulary after inspection.,    [REDACTED_CREDENTIAL_LIKE_VALUE])
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,139,token,harmless,Harmless code/test vocabulary after inspection.,    [REDACTED_CREDENTIAL_LIKE_VALUE])
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,140,token,harmless,Harmless code/test vocabulary after inspection.,    if token is not None:
scripts/m3_14_freeze_backend_and_dryrun_full_m3.py,141,token,harmless,Harmless code/test vocabulary after inspection.,"ing downstream-looking {label} path containing {token!r}: {path}"")"
